MasterNLC,MasterASC,UniqueStationName,PrimaryNaptanStopArea
660,NWPu,Northwick Park,940GZZLUNKP
661,NWDu,Northwood,940GZZLUNOW
662,NWHu,Northwood Hills,940GZZLUNWH
5376,NWDr,Norwood Jn,910GNORWDJ
663,NHGu,Notting Hill Gate,940GZZLUNHG
5068,NHDr,Nunhead,910GNUNHEAD
6020,OKLr,Oakleigh Park,910GOKLGHPK
664,OAKu,Oakwood,940GZZLUOAK
7451,OCKr,Ockendon,910GOCKENDN
665,OLDu,Old Street,910GOLDST
5122,ORPr,Orpington,910GORPNGTN
667,OSTu,Osterley,940GZZLUOSY
668,OVLu,Oval,940GZZLUOVL
669,OXCu,Oxford Circus,940GZZLUOXC
3087,PADr,Paddington NR,910GPADTON
670,PADu,Paddington TfL,940GZZLUPAC
6021,PALr,Palmers Green,910GPALMRSG
671,PRYu,Park Royal,940GZZLUPKR
672,PGRu,Parsons Green,940GZZLUPSG
5423,PMRr,Peckham Rye,910GPCKHMRY
5072,PNEr,Penge East,910GPNGEE
5378,PNWr,Penge West,910GPENEW
673,PERu,Perivale,940GZZLUPVL
5123,PETr,Petts Wood,910GPETSWD
9485,PHLt,Phipps Bridge,940GZZCRPHI
674,PICu,Piccadilly Circus,940GZZLUPCC
776,PIMu,Pimlico,940GZZLUPCO
675,PINu,Pinner,940GZZLUPNR
676,PLWu,Plaistow,940GZZLUPLW
5208,PLUr,Plumstead,910GPLMS
6819,PONr,Ponders End,910GPNDRSEN
538,PDKd,Pontoon Dock,940GZZDLPDK
858,POPd,Poplar,940GZZDLPOP
6022,PBRr,Potters Bar,910GPOTRSBR
677,PRDu,Preston Road,940GZZLUPRD
888,PRRd,Prince Regent,940GZZDLPRE
859,PMLd,Pudding Mill Lane,940GZZDLPUD
7453,PFLr,Purfleet,910GPURFLET
5379,PURr,Purley,910GPURLEY
5430,PUOr,Purley Oaks,910GPURLEYO
5603,PUTr,Putney,910GPUTNEY
678,PUTu,Putney Bridge,940GZZLUPYB
680,QPKu,Queen's Park,910GQPRK
5424,QRPr,Queens Road Peckham,910GPCKHMQD
679,QBYu,Queensbury,940GZZLUQBY
5596,QRBr,Queenstown Road (Battersea),910GQTRDBAT
681,QWYu,Queensway,940GZZLUQWY
1546,RDTr,Radlett,910GRADLETT
7454,RNMr,Rainham (Essex),910GRNHAME
5083,RVBr,Ravensbourne,910GRBRN
682,RCPu,Ravenscourt Park,940GZZLURVP
683,RAYu,Rayners Lane,940GZZLURYL
5569,RAYr,Raynes Park,910GRAYNSPK
3149,RDGr,Reading,910GRDNGSTN
6967,RECr,Rectory Road,910GRCTRYRD
684,REDu,Redbridge,940GZZLURBG
5478,RDHr,Redhill,910GREDHILL
5431,RHMr,Reedham,910GREEDHMS
9486,RVCt,Reeves Corner,940GZZCRRVC
685,RPKu,Regent's Park,940GZZLURGP
686,RMDu,Richmond,910GRICHMND
687,RKYu,Rickmansworth,910GRCKMNSW
5432,RDDr,Riddlesdown,910GRDLSDWN
688,RODu,Roding Valley,940GZZLURVY
6886,RMFr,Romford,910GROMFORD
1039,ROEr,Rotherhithe,910GRTHERHI
890,ROAd,Royal Albert,940GZZDLRAL
690,ROYu,Royal Oak,940GZZLURYO
886,ROVd,Royal Victoria,940GZZDLRVC
691,RUIu,Ruislip,940GZZLURSP
692,RUGu,Ruislip Gardens,940GZZLURSG
693,RUMu,Ruislip Manor,940GZZLURSM
694,RSQu,Russell Square,940GZZLURSQ
6820,RYHr,Rye House,910GRYEHOUS
5380,SAFr,Salfords,910GSALFDS
5433,SNRr,Sanderstead,910GSDSD
9487,SANt,Sandilands,940GZZCRSAN
5434,SRSr,Selhurst,910GSELHRST
6893,SVKr,Seven Kings,910GSVNKNGS
698,SVSu,Seven Sisters,910GSEVNSIS
860,SHAd,Shadwell DLR,940GZZDLSHA
1082,SDEr,Shadwell LO,910GSHADWEL
6888,SNFr,Shenfield,910GSHENFLD
700,SBCu,Shepherd's Bush LU,940GZZLUSBC
775,SBMu,Shepherd's Bush Market,940GZZLUSBM
9587,SPBr,Shepherd's Bush NR,910GSHPDSB
1024,SDCr,Shoreditch High Street,910GSHRDHST
5084,SRTr,Shortlands,910GSHRTLND
5125,SIDr,Sidcup,910GSIDCUP
6972,SLVr,Silver Street,910GSIVRST
5154,SGRr,Slade Green,910GSLADEGN
702,SSQu,Sloane Square,940GZZLUSSQ
3172,SLOr,Slough,910GSLOUGH
703,SNBu,Snaresbrook,940GZZLUSNB
1452,SATr,South Acton,910GSACTON
5425,SBMr,South Bermondsey,910GSBRMNDS
5410,SCYr,South Croydon,910GSCROYDN
704,SELu,South Ealing,940GZZLUSEA
3138,SGNr,South Greenford,910GSGFORD
1451,SOHr,South Hampstead,910GSHMPSTD
707,SHRu,South Harrow,940GZZLUSHH
708,SKNu,South Kensington,940GZZLUSKS
709,SKTu,South Kenton,910GSKENTON
5292,SMOr,South Merton,910GSMERTON
861,SOQd,South Quay,940GZZDLSOQ
710,SRPu,South Ruislip,910GSRUISLP
7404,STOr,South Tottenham,910GSTOTNHM
711,SWMu,South Wimbledon,940GZZLUSWN
712,SWFu,South Woodford,940GZZLUSWF
3187,STLr,Southall,910GSTHALL
6947,SBUr,Southbury,910GSBURY
705,SFSu,Southfields,940GZZLUSFS
706,SGTu,Southgate,940GZZLUSGT
784,SWKu,Southwark,940GZZLUSWK
1548,SACr,St Albans City,910GSTALBCY
6973,SJSr,St James Street,910GSTJMSST
6821,SMTr,St Margarets (Hertfordshire),910GSMARGRT
5290,SIHr,St Helier,910GSHLIER
695,SJPu,St James's Park,940GZZLUSJP
5059,SAJr,St Johns,910GSTJOHNS
696,SJWu,St John's Wood,940GZZLUSJW
